T,D
43,0.272907
44,0.272907
45,0.272907
46,0.272907
47,0.272907
48,0.272907
49,0.272907
50,0.272907
51,0.286577
52,0.286577
53,0.286577
54,0.272907
55,0.286577
56,0.286577
57,0.286577
58,0.300248
59,0.313918
60,0.313918
61,0.341259
62,0.3686
63,0.3686
64,0.3686
65,0.3686
66,0.3686
67,0.3686
68,0.354929
69,0.313918
70,0.286577
71,0.286577
72,0.286577
73,0.286577
74,0.286577
75,0.272907
76,0.272907
77,0.272907
78,0.272907
79,0.272907
80,0.272907
81,0.272907
82,0.272907
83,0.272907
84,0.272907
85,0.272907
86,0.272907
87,0.259236
88,0.259236
89,0.259236
90,0.272907
91,0.272907
92,0.272907
93,0.272907
94,0.272907
95,0.272907
96,0.272907
97,0.272907
98,0.272907
99,0.272907
100,0.272907
101,0.272907
102,0.272907
103,0.272907
104,0.272907
105,0.272907
106,0.300248
107,0.300248
108,0.300248
109,0.300248
110,0.313918
111,0.313918
112,0.327588
113,0.327588
114,0.327588
115,0.327588
116,0.327588
117,0.327588
118,0.327588
119,0.327588
120,0.327588
121,0.327588
122,0.341259
123,0.341259
124,0.38227
125,0.38227
126,0.38227
127,0.38227
128,0.38227
129,0.38227
130,0.38227
131,0.3686
132,0.341259
133,0.341259
134,0.341259
135,0.341259
136,0.327588
137,0.327588
138,0.313918
139,0.313918
140,0.313918
141,0.313918
142,0.313918
143,0.300248
144,0.300248
145,0.300248
146,0.300248
147,0.300248
148,0.300248
149,0.272907
150,0.286577
151,0.272907
152,0.272907
153,0.272907
154,0.272907
155,0.272907
156,0.272907
157,0.272907
158,0.272907
159,0.272907
160,0.272907
161,0.272907
162,0.286577
163,0.286577
164,0.286577
165,0.286577
166,0.300248
167,0.300248
168,0.300248
169,0.300248
170,0.300248
171,0.300248
172,0.327588
173,0.327588
174,0.327588
175,0.327588
176,0.341259
177,0.3686
178,0.3686
179,0.38227
180,0.409611
181,0.409611
182,0.395941
183,0.395941
184,0.395941
185,0.38227
186,0.3686
187,0.3686
188,0.3686
189,0.3686
190,0.341259
191,0.327588
192,0.313918
193,0.313918
194,0.300248
195,0.300248
196,0.300248
197,0.300248
198,0.300248
199,0.272907
200,0.300248
201,0.259236
202,0.272907
203,0.272907
204,0.272907
205,0.272907
206,0.272907
207,0.272907
208,0.272907
209,0.259236
210,0.259236
211,0.259236
212,0.272907
213,0.272907
214,0.272907
215,0.272907
216,0.286577
217,0.286577
218,0.286577
219,0.286577
220,0.300248
221,0.300248
222,0.300248
223,0.300248
224,0.313918
225,0.313918
226,0.341259
227,0.341259
228,0.3686
229,0.354929
230,0.354929
231,0.354929
232,0.3686
233,0.3686
234,0.3686
235,0.38227
236,0.3686
237,0.3686
238,0.38227
239,0.38227
240,0.38227
241,0.38227
242,0.38227
243,0.3686
244,0.3686
245,0.354929
246,0.354929
247,0.327588
248,0.313918
249,0.300248
250,0.286577
251,0.272907
252,0.272907
253,0.272907
254,0.272907
255,0.272907
256,0.272907
257,0.272907
258,0.272907
259,0.272907
260,0.272907
261,0.272907
262,0.272907
263,0.286577
264,0.286577
265,0.286577
266,0.286577
267,0.286577
268,0.286577
269,0.286577
270,0.286577
271,0.286577
272,0.286577
273,0.286577
274,0.286577
275,0.272907
276,0.286577
277,0.272907
278,0.272907
279,0.272907
280,0.272907
281,0.272907
282,0.272907
283,0.272907
284,0.272907
285,0.286577
286,0.286577
287,0.286577
288,0.286577
289,0.286577
290,0.286577
291,0.286577
292,0.286577
293,0.286577
294,0.286577
295,0.272907
296,0.272907
297,0.272907
298,0.272907
299,0.272907
300,0.272907
301,0.272907
